index,Age,Population,Year
51,51,758999.9999999998,1907
52,52,737000.0000000002,1907
53,53,695000.0,1907
54,54,647000.0000000003,1907
55,55,597999.9999999998,1907
56,56,549000.0000000005,1907
57,57,509000.0000000002,1907
58,58,485999.9999999996,1907
59,59,473000.00000000006,1907
60,60,457000.0000000003,1907
61,61,442000.00000000035,1907
62,62,426000.0000000002,1907
63,63,404000.0000000003,1907
64,64,379999.9999999999,1907
65,65,356999.99999999994,1907
66,66,334000.0000000002,1907
67,67,312999.9999999999,1907
68,68,291000.00000000006,1907
69,69,270000.00000000006,1907
70,70,249000.00000000006,1907
71,71,229000.00000000006,1907
72,72,208000.00000000003,1907
73,73,188999.99999999988,1907
74,74,171000.00000000012,1907
75,75,122358.46699487536,1907
76,76,87553.10297758481,1907
77,77,62648.18552260923,1907
78,78,44827.51531984914,1907
79,79,32075.965869839016,1907
80,80,22951.616924148442,1907
81,81,16422.70496649936,1907
82,82,11750.953414201951,1907
83,83,8408.089747488935,1907
84,84,6016.109487165669,1907
85,85,4304.532188112342,1907
86,86,3079.8160400623747,1907
87,87,2203.472538589212,1907
88,88,1576.4064761411678,1907
89,89,1127.71044996753,1907
90,90,806.6467918291293,1907
91,91,576.9102518016458,1907
92,92,412.52267168802257,1907
93,93,294.89542574630116,1907
94,94,210.72745528119196,1907
95,95,150.50121096594722,1907
96,96,107.40642699675122,1907
97,97,76.57002956790515,1907
98,98,54.50509922576821,1907
99,99,38.71657684319191,1907
100,100,27.419127217934214,1907
0,0,2125000.0000000014,1908
1,1,2102000.0000000005,1908
2,2,2075999.9999999995,1908
3,3,2045999.9999999986,1908
4,4,2014999.9999999984,1908
5,5,1981000.0,1908
6,6,1947999.9999999986,1908
7,7,1913000.000000001,1908
8,8,1880000.0000000002,1908
9,9,1847000.0000000005,1908
10,10,1816000.000000001,1908
11,11,1784999.9999999998,1908
12,12,1764000.000000001,1908
13,13,1753000.0000000007,1908
14,14,1753000.0000000007,1908
15,15,1748999.9999999993,1908
16,16,1747999.9999999995,1908
17,17,1748999.9999999993,1908
18,18,1754000.0,1908
19,19,1762000.0000000002,1908
20,20,1769000.0000000007,1908
21,21,1774999.9999999986,1908
22,22,1769999.9999999984,1908
23,23,1744000.0,1908
24,24,1705999.9999999986,1908
25,25,1665999.9999999998,1908
26,26,1628000.0000000007,1908
27,27,1582000.0,1908
28,28,1532000.0000000002,1908
29,29,1479999.999999999,1908
30,30,1425000.0000000007,1908
31,31,1366999.9999999993,1908
32,32,1321999.9999999995,1908
33,33,1297000.0000000002,1908
34,34,1285999.999999999,1908
35,35,1273000.0000000007,1908
36,36,1260999.9999999998,1908
37,37,1238999.9999999993,1908
38,38,1198999.9999999998,1908
39,39,1148999.9999999998,1908
40,40,1100999.9999999998,1908
41,41,1052999.9999999995,1908
42,42,1011000.0000000001,1908
43,43,973999.9999999994,1908
44,44,942000.0000000001,1908
45,45,909000.0000000001,1908
46,46,873000.0000000001,1908
47,47,844999.9999999993,1908
48,48,825000.0000000006,1908
49,49,809999.9999999995,1908
50,50,793000.0000000003,1908
51,51,780000.0000000001,1908
52,52,758000.0000000006,1908
53,53,716999.9999999997,1908
54,54,663999.9999999997,1908
55,55,613000.0000000001,1908
56,56,562999.9999999997,1908
57,57,520999.9999999996,1908
58,58,495999.99999999994,1908
59,59,483000.00000000023,1908
60,60,466999.99999999994,1908
61,61,455000.0,1908
62,62,435999.99999999965,1908
63,63,416000.0,1908
64,64,390000.00000000035,1908
65,65,365999.9999999997,1908
66,66,344999.9999999997,1908
67,67,320999.9999999999,1908
68,68,299000.00000000006,1908
69,69,276000.0000000002,1908
70,70,255000.0000000001,1908
71,71,233999.9999999999,1908
72,72,213000.00000000015,1908
73,73,192999.99999999985,1908
74,74,173999.99999999997,1908
75,75,124444.97723634313,1908
76,76,89003.09336905209,1908
77,77,63654.963915991386,1908
78,78,45525.9144226007,1908
79,79,32559.97008566565,1908
80,80,23286.69226656167,1908
81,81,16654.419346391674,1908
82,82,11911.000142773935,1908
83,83,8518.494132832348,1908
84,84,6092.164826176938,1908
85,85,4356.84766326459,1908
86,86,3115.7442204474532,1908
87,87,2228.1037425607155,1908
88,88,1593.260915765762,1908
89,89,1139.2196403019375,1908
90,90,814.4881144444365,1908
91,91,582.2392648700912,1908
92,92,416.1342709488157,1908
93,93,297.33553822676254,1908
94,94,212.37036912983183,1908
95,95,151.60305457808397,1908
96,96,108.14210985121159,1908
97,97,77.05872677783663,1908
98,98,54.82780866599954,1908
99,99,38.92819700118905,1908
100,100,27.55675251922803,1908
0,0,2162000.000000001,1909
1,1,2133999.999999999,1909
2,2,2104000.000000001,1909
3,3,2072000.0000000014,1909
4,4,2036999.9999999993,1909
5,5,2002000.0000000005,1909
6,6,1967000.0000000016,1909
7,7,1932999.9999999984,1909
8,8,1898999.999999999,1909
9,9,1868999.999999999,1909
